guid,dbfid,cardname,texname,texhash
AIBot_DemonHunterTrainee_001_hb,91661,DemonHunter Trainee,HS19-295_Illidan_Hero_Crop,B9C22349
AIBot_DemonHunterTrainee_001_hb,91661,DemonHunter Trainee,HS19-295_Illidan_Hero_Crop_Premium,
AIBot_DruidTrainee_002_hb,91662,Druid Trainee,W14_a054_D,715BFB24
AIBot_DruidTrainee_002_hb,91662,Druid Trainee,UV_Wavy_Flow2,
AIBot_DruidTrainee_002_hb,91662,Druid Trainee,W14_a054_D_Mask11!,
AIBot_Event_Ragnaros_FireFestival_02m,104998,Fire Festival Ragnaros,HRO-089_H,EA1132FE
AIBot_HunterTrainee_003_hb,91663,Hunter Trainee,Rexxar_D,
AIBot_HunterTrainee_003_hb,91663,Hunter Trainee,leavesSparse2,
AIBot_HunterTrainee_003_hb,91663,Hunter Trainee,Rexxar_D_Mask11!,
AIBot_MageTrainee_004_hb,91664,Mage Trainee,Hero_portrait,
AIBot_PaladinTrainee_005_hb,91665,Paladin Trainee,Uther_D,DB98B12E
AIBot_PaladinTrainee_005_hb,91665,Paladin Trainee,Uther_D_Mask,
AIBot_PriestTrainee_006_hb,91666,Priest Trainee,Anduin_D,59DEF487
AIBot_RogueTrainee_007_hb,91667,Rogue Trainee,valeeraGR_D,58776C65
AIBot_RogueTrainee_007_hb,91667,Rogue Trainee,UV_Wavy_Flow2,
AIBot_RogueTrainee_007_hb,91667,Rogue Trainee,valeeraGR_D_Mask,
AIBot_ShamanTrainee_008_hb,91668,Shaman Trainee,BlizzCon_2011_Thrall_Final_D,1268C17B
AIBot_ShamanTrainee_008_hb,91668,Shaman Trainee,BlizzCon_2011_Thrall_Final_D_Mask,
AIBot_WarlockTrainee_009_hb,91669,Warlock Trainee,Guldan_Final_2_D,00F29416
AIBot_WarlockTrainee_009_hb,91669,Warlock Trainee,Guldan_Final_2_D_Mask,
AIBot_WarriorTrainee_010_hb,91670,Warrior Trainee,Garrosh_D,
AT_001,2539,Flame Lance,HS5-033_D,0D6C544A
AT_001,2539,Flame Lance,snowWind1,9A7B148C
AT_001,2539,Flame Lance,FX_FireRIng,F8FC40E9
AT_001,2539,Flame Lance,HS5-033_D_Mask,DCF7A86F
AT_002,2541,Effigy,W20_a224_D,0248E7E2
AT_002,2541,Effigy,grass01,113B75D4
AT_002,2541,Effigy,W20_a224_D_Mask,B9D6F09A
AT_003,2545,Fallen Hero,HS5-044_D,939AF433
AT_003,2545,Fallen Hero,HS5-044_D_Mask,C6F3AF1F
AT_004,2572,Arcane Blast,HS5-001_D,F9426285
AT_004,2572,Arcane Blast,ArcaneRing01_Double_Polarized,3F8F4046
AT_004,2572,Arcane Blast,HS5-001_D_Mask,7C49EA9D
AT_005,2542,Polymorph: Boar,HS5-064a_D,4DDD189E
AT_005,2542,Polymorph: Boar,HS5-064a_D_Mask,ED44467E
AT_005t,2543,Boar,HS5-064b_D,859C2016
AT_005t,2543,Boar,HS5-064b_D_Mask,B6E08538
AT_006,2549,Dalaran Aspirant,HS5-002_D,76DCF623
AT_006,2549,Dalaran Aspirant,flowers4,E6F13822
AT_006,2549,Dalaran Aspirant,flowers3,66C9FF96
AT_006,2549,Dalaran Aspirant,HS5-002_D_Mask,C53903C5
AT_007,2571,Spellslinger,W4_288_D,662DFF25
AT_007,2571,Spellslinger,W4_288_D_Mask,855EAE5B
AT_008,2544,Coldarra Drake,W14_a063_D,95BAD9D6
AT_008,2544,Coldarra Drake,RuneStrips,3C8E0D14
AT_008,2544,Coldarra Drake,RuneStrips,3C8E0D14
AT_008,2544,Coldarra Drake,W14_a063_D_Mask,D1AFFB45
AT_009,2546,Rhonin,W12_A073_D,64C68D8B
AT_009,2546,Rhonin,W12_A073_D_Mask,2D101ED1
AT_010,2552,Ram Wrangler,W6_031_D,5887B70B
AT_010,2552,Ram Wrangler,pulse1,
AT_010,2552,Ram Wrangler,SmokeTile1,2B114A6A
AT_010,2552,Ram Wrangler,W6_031_D_Mask,7F41AAD4
AT_011,2555,Holy Champion,R8_A040_D,274A5947
AT_011,2555,Holy Champion,R8_A040_D_Mask,72D0B180
AT_012,2551,Spawn of Shadows,w9_a029_D,FD709EDB
AT_012,2551,Spawn of Shadows,w9_a029_D_Mask,35071049
AT_013,2568,Power Word: Glory,W13_251_D,E36D537F
AT_013,2568,Power Word: Glory,W13_251_D_Golden_Symbol,8B3FA9BF
AT_013,2568,Power Word: Glory,W13_251_D_Mask,7360DA9F
AT_014,2566,Shadowfiend,W3_135_D,680C72BB
AT_014,2566,Shadowfiend,W3_135_D_Mask,BC5A3ABF
AT_015,2563,Convert,w3_136_D,882D47DA
AT_015,2563,Convert,w3_136_D_Mask,3C86F5CB
AT_016,2564,Confuse,W6_124_D,CE14AF2D
AT_016,2564,Confuse,W6_124_D_Mask,2ACEDD33
AT_017,2569,Twilight Guardian,W15_A152_D,9724814E
AT_017,2569,Twilight Guardian,W15_A152_D_Mask,A316A471
AT_018,2556,Confessor Paletress,W12_a113_D,88FCD54A
AT_018,2556,Confessor Paletress,W12_a113_D_Mask,F069C650
AT_019,2822,Dreadsteed,W10_A131_D,4955692E
AT_019,2822,Dreadsteed,W10_A131_D_Mask,FC91B3CD
AT_020,2624,Fearsome Doomguard,W20_a147_D,C1207472
AT_020,2624,Fearsome Doomguard,W20_a147_D_Mask,8DDF1EC3
AT_021,2777,Tiny Knight of Evil,HS5-069_D,C73BE0CD
AT_021,2777,Tiny Knight of Evil,HS5-069_D_Mask,11E28478
AT_022,2628,Fist of Jaraxxus,W21_A135_D,CA0F58A8
AT_022,2628,Fist of Jaraxxus,W21_A135_D_Mask,0F3EF8F4
AT_023,2537,Void Crusher,HS5-003_D,5021FBA8
AT_023,2537,Void Crusher,HS5-034_D_FADE1,1CF905A8
AT_023,2537,Void Crusher,HS5-003_D_Mask,AA48534B
AT_024,2535,Demonfuse,W17_a189_D,723CD3BD
AT_024,2535,Demonfuse,W17_a189_D_Mask,A36AF764
AT_025,2632,Dark Bargain,W17_a153_D,83B1E5DE
AT_025,2632,Dark Bargain,W17_a153_D_Mask,B2BD37F4
AT_026,2623,Wrathguard,W20_a149_D,F7444635
AT_026,2623,Wrathguard,W20_a149_D_Mask,E74E13B5
AT_027,2621,Wilfred Fizzlebang,HS5-004_D,4FBCF30A
AT_027,2621,Wilfred Fizzlebang,HS5-004_D_Fade2,8BAF84D7
AT_027,2621,Wilfred Fizzlebang,HS5-004_D_Mask,B10ACA95
AT_027e,2622,Master Summoner,HS5-004_D,4FBCF30A
AT_028,2765,Shado-Pan Rider,HS5-048_D,E55AA537
AT_028,2765,Shado-Pan Rider,HS5-048_D_FADE2,5B7420C9
AT_028,2765,Shado-Pan Rider,HS5-048_D_Mask,9C8BF5F1
AT_029,2715,Buccaneer,HS5-046_D,30658078
AT_029,2715,Buccaneer,HS5-046_D_Fade2,6E054D73
AT_029,2715,Buccaneer,HS5-046_D_Mask,44D96EA9
AT_030,2767,Undercity Valiant,HS5-047_D,818B553C
AT_030,2767,Undercity Valiant,HS5-047_D_Mask,15C89091
AT_031,2766,Cutpurse,W3_143_D,84B8CF89
AT_031,2766,Cutpurse,coins2,AAB59F06
AT_031,2766,Cutpurse,coins2,AAB59F06
AT_031,2766,Cutpurse,W3_143_D_Mask,0E0CBEF5
AT_032,2768,Shady Dealer,HS5-045_D,FB67E119
AT_032,2768,Shady Dealer,FX_plasma_withLeaves,84F5B857
AT_032,2768,Shady Dealer,HS5-045_D_Mask,857AFA98
AT_033,2770,Burgle,W21_A069_D,9712E69B
AT_033,2770,Burgle,coins2,AAB59F06
AT_033,2770,Burgle,W21_A069_D_Mask,CBB85429
AT_034,2763,Poisoned Blade,HS3-075_D,A102058D
AT_034,2763,Poisoned Blade,HS3-075_D_Mask,8EB2548A
AT_035,2587,Beneath the Grounds,W10_A026_D,46B72F0B
AT_035,2587,Beneath the Grounds,UV_Wavy_Flow2,
AT_035,2587,Beneath the Grounds,W10_A026_D_Mask,29AACCA0
AT_035t,2847,Nerubian Ambush!,W11_210_D,E8CC8DF9
AT_035t,2847,Nerubian Ambush!,rocksSparse2,681D6CBE
AT_035t,2847,Nerubian Ambush!,W11_210_D_mask_0,2BCDF5E6
AT_036,2586,Anub'arak,HS5-049_D,561C2E10
AT_036,2586,Anub'arak,beatles,EE2E2007
AT_036,2586,Anub'arak,HS5-049_D_FADE3,DBDCABB7
AT_036,2586,Anub'arak,HS5-049_D_FADE2,57B57C7B
AT_036,2586,Anub'arak,HS5-049_D_Mask,59FBFBA0
AT_036t,3010,Nerubian,W11_210_D,E8CC8DF9
AT_036t,3010,Nerubian,rocksSparse2,681D6CBE
AT_036t,3010,Nerubian,W11_210_D_mask,D6791B4A
AT_037,2792,Living Roots,W15_A032_D,184F8FD8
AT_037,2792,Living Roots,W15_A032_D_Vines_and_Guy,09C3388C
AT_037,2792,Living Roots,Edge and Vines,DC186801
AT_037,2792,Living Roots,W15_A032_D_Mask,B0B20599
AT_037a,2789,Grasping Roots,HS17-094,96C3A854
AT_037a,2789,Grasping Roots,leavesColor,6695F5A2
AT_037a,2789,Grasping Roots,HS17-094_Mask,4E7BF7D7
AT_037a,2789,Grasping Roots,HS17-094,96C3A854
AT_037b,2791,"One, Two, Trees!",HS17-095,6B620B5B
AT_037b,2791,"One, Two, Trees!",HS17-095_Wave,85D44A29
AT_037b,2791,"One, Two, Trees!",HS17-095_Wave,85D44A29
AT_037b,2791,"One, Two, Trees!",HS17-095_Mask,68EE9444
AT_037b,2791,"One, Two, Trees!",HS17-095,6B620B5B
AT_037t,2790,Sapling,HS5-068_D,776F434C
AT_037t,2790,Sapling,HS5-068_D_Head_Alpha,BB37B4B5
AT_037t,2790,Sapling,Leaf_Alpha,266302BC
AT_037t,2790,Sapling,HS5-068_D_Mask,5D13A869
AT_038,2782,Darnassus Aspirant,HS5-005_D,8C3729D9
AT_038,2782,Darnassus Aspirant,HS5-005_D_Mask,3079D74B
AT_039,2780,Savage Combatant,W19_a040_D,63AEC82F
AT_039,2780,Savage Combatant,W19_a040_D_Mask,F1FDE59F
AT_040,2786,Wildwalker,W10_a048_D,35425E39
AT_040,2786,Wildwalker,W10_a048_D_Mask,967B69F3
AT_041,2788,Knight of the Wild,HS5-050_D,80C5251D
AT_041,2788,Knight of the Wild,HS5-050_D_Mask,4C64D095
AT_042,2783,Druid of the Saber,W20_a104_D,583C11BF
AT_042,2783,Druid of the Saber,snowWind2,DA410D97
AT_042,2783,Druid of the Saber,W20_a104_D_Mask,5C4FBC73
AT_042a,2861,Lion Form,W9_a025_D,1D2D2913
AT_042a,2861,Lion Form,W9_a025_D_Mask,18607845
AT_042b,2862,Panther Form,W20_a104_D2,47F561DC
AT_042b,2862,Panther Form,W20_a104_D2_Mask,3EE39BF9
AT_042t,2784,Druid of the Saber,W9_a025_D,1D2D2913
AT_042t,2784,Druid of the Saber,W9_a025_D_Mask,18607845
AT_042t2,2860,Druid of the Saber,W20_a104_D2,47F561DC
AT_042t2,2860,Druid of the Saber,W20_a104_D2_Mask,3EE39BF9
AT_043,2785,Astral Communion,W13_063_D,646BEE2F
AT_043,2785,Astral Communion,W13_063_D_Mask,A4201E25
AT_044,2793,Mulch,HS5-065_D,417184B3
AT_044,2793,Mulch,sidelinesAndMotes,D32FD34B
AT_044,2793,Mulch,HS5-065_D_FX,359F42E9
AT_044,2793,Mulch,dustAndLeaves,9A238D56
AT_044,2793,Mulch,HS5-065_D_Mask,EB90F681
AT_045,2796,Aviana,W19_a193_D,354293E8
AT_045,2796,Aviana,FeathersSparse,
AT_045,2796,Aviana,W19_a193_D_Mask,D8FECFF2
AT_045e,2842,Empowering Mist,HS5-008_D,BBF237DA
AT_046,2513,Tuskarr Totemic,HS5-006_D,3E6B40C1
AT_046,2513,Tuskarr Totemic,HS5-006_D_Mask,D4E148C5
AT_047,2613,Draenei Totemcarver,W8_089_D,23BF955B
AT_047,2613,Draenei Totemcarver,FX_plasma_withLeaves,84F5B857
AT_047,2613,Draenei Totemcarver,metalScrap,D54E77FF
AT_047,2613,Draenei Totemcarver,W8_089_D_Mask,A4FB4885
AT_048,2612,Healing Wave,W13_273_D,59AB75BB
AT_048,2612,Healing Wave,CurlWisp02,CD8D40EE
AT_048,2612,Healing Wave,leaves3,D08402C2
AT_048,2612,Healing Wave,W13_273_D_Mask,86DA8DF9
AT_049,2615,Thunder Bluff Valiant,HS5-007_D,D7B7DCD6
AT_049,2615,Thunder Bluff Valiant,HS5-007_D_Mask,105637B8
AT_050,2617,Charged Hammer,W17_a065_D,B93E6D5B
AT_050,2617,Charged Hammer,W17_a065_D_Mask,06F76CE9
AT_050t,2803,Lightning Jolt,W13_271_D,EA704CF7
AT_050t,2803,Lightning Jolt,W10_A153_D_Mask,CE41ED98
AT_051,2620,Elemental Destruction,W5_245_D,C8EF9EDC
AT_051,2620,Elemental Destruction,W5_245_D_Mask,FBAF6E71
AT_052,2610,Totem Golem,HS5-034_D,01E4E518
AT_052,2610,Totem Golem,leavesColor3,D8B9212D
AT_052,2610,Totem Golem,leavesColor3,D8B9212D
AT_052,2610,Totem Golem,HS5-034_D_Mask,74CB1200
AT_053,2514,Ancestral Knowledge,WOW_ARM_037_D,F980493B
AT_053,2514,Ancestral Knowledge,WOW_ARM_037_D_Mask,B4FD9FA7
AT_054,2618,The Mistcaller,HS5-008_D,BBF237DA
AT_054,2618,The Mistcaller,HS5-008_D_Mask,4A8BAC95
AT_055,2582,Flash Heal,W17_a110_D,D68A5CC2
AT_055,2582,Flash Heal,W17_a110_D_Mask,266FB2C0
AT_056,2638,Powershot,HS4-006_D,AF3FC5D7
AT_056,2638,Powershot,HS4-006_D_Mask,6B3F9D45
AT_057,2639,Stablemaster,HS5-051_D,22B27FA6
AT_057,2639,Stablemaster,grass01,113B75D4
AT_057,2639,Stablemaster,rocks4,2019B082
AT_057,2639,Stablemaster,HS5-051_D_Fade1,38F09355
AT_057,2639,Stablemaster,HS5-051_D_Mask,2E5BCC69
AT_058,2635,King's Elekk,W10_A188_D,BEDDDD7B
AT_058,2635,King's Elekk,W10_A188_D_Mask,A856CE0D
AT_059,2642,Brave Archer,HS5-052_D,7B32D98B
AT_059,2642,Brave Archer,HS5-052_D_Mask,0742E553
AT_060,2641,Bear Trap,W14_a125_D,A33CF0A9
AT_060,2641,Bear Trap,W14_a125_Trap2,D1E03E50
AT_060,2641,Bear Trap,W14_a125_D_Mask,A2A912CE
AT_061,2484,Lock and Load,HS5-009_D,9CB7DD93
AT_061,2484,Lock and Load,bullet_shells_1,320F4B88
AT_061,2484,Lock and Load,HS5-009_D_Mask,F4F8C0CE
AT_062,2483,Ball of Spiders,HS5-053_D,114FB5FB
AT_062,2483,Ball of Spiders,HS5-053_D_Fade4,EEA4159B
AT_062,2483,Ball of Spiders,HS5-053_D_Fade4,EEA4159B
AT_062,2483,Ball of Spiders,HS5-053_D_Fade2,81FD6FFC
AT_062,2483,Ball of Spiders,HS5-053_D_Mask,27F8AEB3
AT_063,2633,Acidmaw,HS5-010_D,51493C32
AT_063,2633,Acidmaw,rocks_alpha,ED55EC02
AT_063,2633,Acidmaw,HS5-010_D_Mask,AF5D5CF6
AT_063t,2634,Dreadscale,HS5-011_D,D19A55BD
AT_063t,2634,Dreadscale,rocksSparse,83BCEBC3
AT_063t,2634,Dreadscale,HS5-011_D_Mask,46B3B804
AT_064,2729,Bash,W21_A062_D,14A2BD8F
AT_064,2729,Bash,W21_A062_D_Mask,1DF9F87F
AT_065,2756,King's Defender,W9_a092a_D,6D92342F
AT_065,2756,King's Defender,W9_a092a_D_Mask,9E438615
AT_066,2711,Orgrimmar Aspirant,HS5-012_D,C849E862
AT_066,2711,Orgrimmar Aspirant,rocks_0,7FC7C5E4
AT_066,2711,Orgrimmar Aspirant,HS5-012_D_Mask,D320BEEC
AT_067,2753,Magnataur Alpha,HS5-055_D,894102E7
AT_067,2753,Magnataur Alpha,rocks_0,7FC7C5E4
AT_067,2753,Magnataur Alpha,pulse1,
AT_067,2753,Magnataur Alpha,HS5-055_D_Mask,4283F374
AT_068,2754,Bolster,W20_a074_D,0AFA2BAD
AT_068,2754,Bolster,W20_a074_D_FADE2,56F3A056
AT_068,2754,Bolster,W20_a074_D_FADE2,56F3A056
AT_068,2754,Bolster,W20_a074_D_Mask,BFF8E835
AT_069,2733,Sparring Partner,HS5-054_D,6635BA13
AT_069,2733,Sparring Partner,UV_Wavy_Flow2,
AT_069,2733,Sparring Partner,HS5-054_D_Mask,2BD90DFD
AT_070,2757,Skycap'n Kragg,HS5-013_D,B1DA4605
AT_070,2757,Skycap'n Kragg,Feathers 1,3231012E
AT_070,2757,Skycap'n Kragg,HS5-013_D_Mask,ADFC717B
AT_071,2758,Alexstrasza's Champion,HS5-041_D,9D953C82
AT_071,2758,Alexstrasza's Champion,UV_Wavy_Flow2,
AT_071,2758,Alexstrasza's Champion,rocksSparse2,681D6CBE
AT_071,2758,Alexstrasza's Champion,HS5-041_D_Mask,6B59CC33
AT_072,2760,Varian Wrynn,varian_D,4BB2B58F
AT_072,2760,Varian Wrynn,flowers5,2D7B56D5
AT_072,2760,Varian Wrynn,varian_D_Mask,4DD29260
AT_073,2648,Competitive Spirit,W8_054_D,053ABE46
AT_073,2648,Competitive Spirit,rocks_0,7FC7C5E4
AT_073,2648,Competitive Spirit,sidelinesAndMotes,D32FD34B
AT_073,2648,Competitive Spirit,W8_054_D_Mask,1686FC3B
AT_074,2717,Seal of Champions,W16_a052_D,D1AFB700
