guid,dbfid,cardname
AIBot_DemonHunterTrainee_001_hb,91661,DemonHunter Trainee
AIBot_DruidTrainee_002_hb,91662,Druid Trainee
AIBot_Event_Ragnaros_FireFestival_02m,104998,Fire Festival Ragnaros
AIBot_HunterTrainee_003_hb,91663,Hunter Trainee
AIBot_MageTrainee_004_hb,91664,Mage Trainee
AIBot_PaladinTrainee_005_hb,91665,Paladin Trainee
AIBot_PriestTrainee_006_hb,91666,Priest Trainee
AIBot_RogueTrainee_007_hb,91667,Rogue Trainee
AIBot_ShamanTrainee_008_hb,91668,Shaman Trainee
AIBot_WarlockTrainee_009_hb,91669,Warlock Trainee
AIBot_WarriorTrainee_010_hb,91670,Warrior Trainee
ART_BOT_Bundle_001,52424,Golden Legendary
AT_001,2539,Flame Lance
AT_002,2541,Effigy
AT_003,2545,Fallen Hero
AT_004,2572,Arcane Blast
AT_005,2542,Polymorph: Boar
AT_005t,2543,Boar
AT_006,2549,Dalaran Aspirant
AT_006e,2550,Power of Dalaran
AT_007,2571,Spellslinger
AT_007e,105687,Spellslung
AT_008,2544,Coldarra Drake
AT_009,2546,Rhonin
AT_010,2552,Ram Wrangler
AT_011,2555,Holy Champion
AT_011e,2846,Light's Blessing
AT_012,2551,Spawn of Shadows
AT_013,2568,Power Word: Glory
AT_013e,2848,Power Word: Glory
AT_014,2566,Shadowfiend
AT_014e,2567,Shadowfiended
AT_015,2563,Convert
AT_016,2564,Confuse
AT_016e,2565,Confused
AT_017,2569,Twilight Guardian
AT_017e,2570,Twilight's Embrace
AT_018,2556,Confessor Paletress
AT_019,2822,Dreadsteed
AT_019e,47218,Dreadsteed
AT_020,2624,Fearsome Doomguard
AT_021,2777,Tiny Knight of Evil
AT_021e,2778,Felrage
AT_022,2628,Fist of Jaraxxus
AT_023,2537,Void Crusher
AT_024,2535,Demonfuse
AT_024e,2867,Dark Fusion
AT_025,2632,Dark Bargain
AT_026,2623,Wrathguard
AT_027,2621,Wilfred Fizzlebang
AT_027e,2622,Master Summoner
AT_028,2765,Shado-Pan Rider
AT_028e,2859,Chi Lance
AT_029,2715,Buccaneer
AT_029e,2714,Extra Stabby
AT_030,2767,Undercity Valiant
AT_031,2766,Cutpurse
AT_032,2768,Shady Dealer
AT_032e,2769,Shady Deals
AT_032e_copy,51452,Shady Deals Copy
AT_033,2770,Burgle
AT_034,2763,Poisoned Blade
AT_034e,2764,Laced
AT_035,2587,Beneath the Grounds
AT_035t,2847,Nerubian Ambush!
AT_036,2586,Anub'arak
AT_036t,3010,Nerubian
AT_037,2792,Living Roots
AT_037a,2789,Grasping Roots
AT_037b,2791,"One, Two, Trees!"
AT_037t,2790,Sapling
AT_038,2782,Darnassus Aspirant
AT_039,2780,Savage Combatant
AT_039e,2781,Savage
AT_040,2786,Wildwalker
AT_040e,2787,Kindred Spirit
AT_041,2788,Knight of the Wild
AT_041e,2991,Call of the Wild
AT_042,2783,Druid of the Saber
AT_042a,2861,Lion Form
AT_042b,2862,Panther Form
AT_042t,2784,Druid of the Saber
AT_042t2,2860,Druid of the Saber
AT_043,2785,Astral Communion
AT_044,2793,Mulch
AT_045,2796,Aviana
AT_045e,2842,Empowering Mist
AT_045ee,2844,Mistcaller Deck Ench
AT_045eee,52723,Aviana's Blessing
AT_046,2513,Tuskarr Totemic
AT_047,2613,Draenei Totemcarver
AT_047e,2614,Experienced
AT_048,2612,Healing Wave
AT_049,2615,Thunder Bluff Valiant
AT_049e,2616,Power of the Bluff
AT_050,2617,Charged Hammer
AT_050t,2803,Lightning Jolt
AT_051,2620,Elemental Destruction
AT_052,2610,Totem Golem
AT_053,2514,Ancestral Knowledge
AT_054,2618,The Mistcaller
AT_055,2582,Flash Heal
AT_056,2638,Powershot
AT_057,2639,Stablemaster
AT_057o,2640,Groomed
AT_058,2635,King's Elekk
AT_059,2642,Brave Archer
AT_060,2641,Bear Trap
AT_061,2484,Lock and Load
AT_061e,2485,Lock and Load
AT_062,2483,Ball of Spiders
AT_063,2633,Acidmaw
AT_063t,2634,Dreadscale
AT_064,2729,Bash
AT_065,2756,King's Defender
AT_065e,2824,King's Defender
AT_066,2711,Orgrimmar Aspirant
AT_066e,2732,Forges of Orgrimmar
AT_067,2753,Magnataur Alpha
AT_068,2754,Bolster
AT_068e,2755,Bolstered
AT_069,2733,Sparring Partner
AT_069e,2734,Training Complete
AT_070,2757,Skycap'n Kragg
AT_071,2758,Alexstrasza's Champion
AT_071e,2759,Alexstrasza's Boon
AT_072,2760,Varian Wrynn
AT_073,2648,Competitive Spirit
AT_073e,2849,Competitive Spirit
AT_074,2717,Seal of Champions
AT_074e2,2719,Seal of Champions
AT_075,2515,Warhorse Trainer
AT_075e,2516,Might of the Hostler
AT_076,2655,Murloc Knight
AT_077,2720,Argent Lance
AT_077e,2845,Extra Poke
AT_078,2654,Enter the Coliseum
AT_079,2726,Mysterious Challenger
AT_080,2517,Garrison Commander
AT_081,2727,Eadric the Pure
AT_081e,2728,Purified
AT_082,2486,Lowly Squire
AT_082e,2487,Training
AT_083,2533,Dragonhawk Rider
AT_083e,2534,Dragonhawkery
AT_084,2577,Lance Carrier
AT_084e,2578,Equipped
AT_085,2488,Maiden of the Lake
AT_085e,52744,Maiden's Blessing
AT_086,2576,Saboteur
AT_086e,2870,Villainy
AT_087,2490,Argent Horserider
AT_088,2491,Mogor's Champion
AT_089,2495,Boneguard Lieutenant
AT_089e,2496,Boneguarded
AT_090,2497,Mukla's Champion
AT_090e,2498,Might of the Monkey
AT_091,2575,Tournament Medic
AT_092,2594,Ice Rager
AT_093,2532,Frigid Snobold
AT_094,2580,Flame Juggler
AT_095,2579,Silent Knight
AT_096,2500,Clockwork Knight
AT_096e,2501,Wound Up
AT_097,2499,Tournament Attendee
AT_098,2573,Sideshow Spelleater
AT_099,2598,Kodorider
AT_099t,2799,War Kodo
AT_100,2503,Silver Hand Regent
AT_101,2521,Pit Fighter
AT_102,2522,Captured Jormungar
AT_103,2520,North Sea Kraken
AT_104,2504,Tuskarr Jouster
AT_105,2502,Injured Kvaldir
AT_106,2259,Light's Champion
AT_108,2627,Armored Warhorse
AT_109,2505,Argent Watchman
AT_109e,2506,Inspired
AT_110,2585,Coliseum Manager
AT_111,2704,Refreshment Vendor
AT_112,2507,Master Jouster
AT_113,2509,Recruiter
AT_114,2752,Evil Heckler
AT_115,2581,Fencing Coach
AT_115e,2825,Fencing Practice
AT_116,2596,Wyrmrest Agent
AT_116e,2597,Bring it on!
AT_117,2493,Master of Ceremonies
AT_117e,2751,Ceremony
AT_118,2510,Grand Crusader
AT_119,2511,Kvaldir Raider
AT_119e,2735,Inspired
AT_120,2512,Frost Giant
AT_121,2518,Crowd Favorite
AT_121e,2750,Huge Ego
AT_122,2724,Gormok the Impaler
AT_123,2682,Chillmaw
AT_124,2595,Bolf Ramshield
AT_125,2725,Icehowl
AT_127,2683,Nexus-Champion Saraad
AT_128,2681,The Skeleton Knight
AT_129,2748,Fjola Lightbane
AT_130,2723,Sea Reaver
AT_131,2519,Eydis Darkbane
AT_132,2736,Justicar Trueheart
AT_132_DRUIDa,51465,Dire Shapeshift
AT_132_DRUIDb,57870,Dire Shapeshift
AT_132_DRUIDc,60429,Dire Shapeshift
AT_132_DRUIDe,2747,Dire Claws
AT_132_HUNTER_H1,60337,Ballista Shot
AT_132_ROGUE_H1,46053,Poisoned Daggers
AT_132_ROGUEt,2746,Poisoned Dagger
AT_132_ROGUEt_H1,46055,Poisoned Dagger
AT_132_SHAMANa,16221,Healing Totem
AT_132_SHAMANb,16222,Searing Totem
AT_132_SHAMANc,16223,Stoneclaw Totem
AT_132_SHAMANd,16225,Wrath of Air Totem
AT_132_SHAMANe,72268,Strength Totem
AT_132_WARLOCKa,51468,Soul Tap
AT_132_WARLOCKb,51838,Soul Tap
AT_133,2818,Gadgetzan Jouster
AT_133e,2819,Victory!
AT_COIN,97908,The Coin
AV_100,66875,Drek'Thar
AV_101,66880,Herald of Lokholar
AV_102,66887,Popsicooler
AV_107,67192,Glaciate
AV_108,67193,Shield Shatter
AV_109,67194,Frozen Buckler
AV_109e,71035,Chilly
AV_112,67352,Snowblind Harpy
AV_113,67803,Beaststalker Tavish
AV_113p,67807,Summon Pet
AV_113t1,67804,Improved Explosive Trap
AV_113t2,67805,Improved Freezing Trap
AV_113t2e,67806,Freezing
AV_113t3,67808,Improved Snake Trap
AV_113t3t2,75069,Snake
AV_113t7,70207,Improved Pack Tactics
AV_113t8,70208,Improved Open the Cages
AV_113t9,71468,Improved Ice Trap
AV_113t9e,71469,Mega Frosty
AV_114,67871,Shivering Sorceress
AV_114e,67872,Shocking
AV_115,67873,Amplified Snowflurry
AV_115e5,75840,Icy
AV_116,67874,Arcane Brilliance
AV_118,69577,Battleworn Vanguard
AV_119,70012,To the Front!
AV_119e,70013,Frontlined
AV_121,70219,Gnome Private
AV_121e,71423,Gnome's Honor
AV_122,70220,Corporal
AV_123,70221,Sneaky Scout
AV_123e,70222,Scouted
AV_124,70223,Direwolf Commander
AV_125,70225,Tower Sergeant
AV_125e,80081,Shielded
AV_126,70226,Bunker Sergeant
AV_127,70227,Ice Revenant
AV_127e,70229,Frosty Spirit
AV_128,70228,Frozen Mammoth
AV_128e,72999,Unthawed
AV_129,70231,Blood Guard
AV_129e,74939,Incited
AV_130,70232,Legionnaire
AV_130e,70233,Marching Orders
AV_131,70234,Knight-Captain
AV_131e,74919,Armed to the Teeth
AV_132,70235,Troll Centurion
AV_133,70236,Icehoof Protector
AV_134,70238,Frostwolf Warmaster
AV_135,70239,Stormpike Marshal
AV_136,70240,Kobold Taskmaster
AV_136e,73746,Rusted Armor
AV_136t,71424,Armor Scrap
AV_137,70241,Irondeep Trogg
AV_138,70243,Grimtotem Bounty Hunter
AV_139,70244,Abominable Lieutenant
AV_139e,70251,Tummy Feel Funny
AV_141t,70255,Lokholar the Ice Lord
