guid,premiumname
4b3569e7a1acc7749b07c1425e20861a,AcidicSwampOoze_D_Mask
ec83c9e0cf360a347b8e37da77b3898a,AlarmLights1
be95754d5953f6c4a9b154582cfa922c,AlphaSwipe
7fe160f140d4e8c49b17a83015f4f827,AmbientCubeBottom
0a17fcd531fd1c14cb297e1127f372e3,Anduin_Premium_Hero_Coat
0a19137a0d5759c45bd21c83f291277c,Anduin_Premium_Hero_Mask
99f9ddf13af615941ba59a288d61a791,Antonidas_D_mask
cc37cb08b9ab90b4aa0997465019445e,Aquatic2
06a05cc1809594f41ad88ee0ac8a64b8,Aquatic4
81d2c0e2a5830e841bb8f186d9834ed7,ArcaneRing01_Double_Polarized
879b437de64d574449ebaeec24e1ea4e,ArcaneRunes
a795923fa96da404eb8d165c23720947,arcane_mote_cloud
a9782c83e6873cb4292217ab5d5d4983,Arrow
68c31b8de8c616f4d98de64a42d03c14,ArrowCard
cdddcf899969a7e41af8a8de78b97a43,ArrowFlowMap
d89a2676b7fe4c444b9a031084c9e934,Arrows
e20d814e6570f1b4c9a437d2abeceef4,arrows01
09fbdc48672c370428bec96779f3cf23,Arrows01_0
b761ced99d097cf4c8c1df0794a92942,arrows02
a553106b40ee5b84db6f0c7e508c1189,Arrows02_0
72010e0ed6b7fba40874e0ba72b53d10,ArrowTightFlowMap
cf34cb98552f23148af70011e1b5c9bd,AV_258p2_WaterFX
54764f0a9f82d044494978f8a9ed2d52,babbling_book_jaw
736140cfc42e689439956abb5b3c22d8,banana
4a68142dfe739d94baad06e156c8220c,banana2
8dedbb3cdf410d84bb4d6f157231813c,bananas2_D_Mask
48ec8c465457b7843b500c9cb76bf818,battle
a5601a74409441245ade5dda5202314e,beatles
ddfe5a96efe13814ea08866953e6068c,Bestiary-final1_D_Mask
2c2f426927df18c4a9d4e5910c28f5b0,Bestiary-final2_D_Mask
7ba3c6c6784a39347b9410bbcea52a57,Bestiary-final_D_Mask
653f1a0295444314893dc339bb23641a,BG24-027_M_Eyelids
28aadb57eceecf049815179df402c371,BG24-027_M_Flowmap
b563dafebe4916e4da7da8615a43ecd7,BG24-027_M_Mask
eafb624de3d61ed4ba207a7e9e2ed2a2,blademaster_D_mask
d347b426a9b97934796d04f6608e8793,BlizzCon_2011_Thrall_Final_D_Mask
955fc6845c8f3de40a0927b5f636ae50,blobs_no_motes
563efff7d68a4ea40b27ccb40e7cb1bc,blood_goo_ink
595e1e997764c664899671e89cd1de37,bolt_lightning_electric_shock_energy
4a22ee690deefc94e89c2b13baf784ed,books_candles_potions_magic
2869c9efb2a475f45a43901e11ddc41c,bracelet_shine
a630530c5cf9c414eb6c4ff67eb96c2a,Bubbles2
0ce92adf32cb754429c7cd7754e50199,BubblesSuperSparce
4c3a5530ef21ecc41ae396a44684ad53,bubbles_particles
36306608be8104649b22748ab80de901,bullet_shells_1
132fb372a71d4854a810747f0c96b388,bullet_shells_2
d0a2cbdc206f4f944b87f6983c6c070d,Candle_wax
b8fb974fbc755914d8c2fb9c1f20102e,candle_wax_0
4d7473f7f54cbd746b57bfbb1e9b6110,Card_InHand_Location_Priest_Premium
275032877b7c488478303435c4d2f8fa,CatScreech
9dd356dffd75a5146be1f1007b5a040c,cat_in_the_hat
857f4abecc354b6438c2a0e83f4ed428,cat_in_the_hat_glow
8d681f22996ab994fa8e2dd957b7e87a,CFM_325_flicker
cd90c4f9f59c5454c9c36968e8f48062,CFM_699-flowmap
b9362114ff6c830428c9c9bd93b72874,CFM_716_Bubbles
cd1d0418901009443a764e61664f4f87,CFM_806_M_FlowMap_Magic
38bfd0be466c9b64bb4a0919fb95a0a7,CFM_806_M_Mask
d5d10582b3892f44287bd54e59053c44,Chains1
c58440235b03070469ded64ceca80ac6,Cho_minion_D_Mask
76891535f5bd5f9439cdc3eaea6c951e,Circle_Motes
ef43943919b498a4c9d2b8c3c14fe619,Circle_Motes_GrrenYellow
84bc05da194dd4249abc667bcc061f7d,CLA-001_S_Body
3024aa2c8ed42d74eab8ae72b74a217f,CLA-001_S_Mask
1458962ce7e4e174a88e76fe93fa61e3,CLA-001_S_Sheen
25019f9e7e1256a44bb380fbfb5929bb,CLA-002_S_Hand
6de10d50f9df65841bc0234379c56e57,CLA-002_S_Hat
3ec5c5c0b6d65cc4eade666ccb1954d7,CLA-002_S_Mask
5069252e77a6caf4c92fc96615397251,CLA-002_S_Sidelines
38df7809721d4b146954292d09f181fb,CLA-003_S_Body
bce596c35fe80244ebf1f875d7030b35,CLA-003_S_Energy
