guid,PortraitTexture,PremiumPortraitMaterial,PremiumUberShaderAnimation,PremiumPortraitTexture,SignaturePortraitTexture,SignaturePortraitMaterial,SignatureUberShaderAnimation
AIBot_DemonHunterTrainee_001_hb,HS19-295_Illidan_Hero_Crop,HERO_10_PremiumPortrait_NEW,HERO_10_PremiumPortrait_NEW,HS19-295_Illidan_Hero_Crop_Premium,,,
AIBot_DruidTrainee_002_hb,W14_a054_D,HERO_06_Premium11!,,,,,
AIBot_Event_Ragnaros_FireFestival_02m,HRO-089_H,HERO_02m_Golden,HERO_02m_Golden,,,,
AIBot_HunterTrainee_003_hb,Rexxar_D,HERO_05_Premium11!,,,,,
AIBot_MageTrainee_004_hb,Hero_portrait,HERO_08_Premium,,,,,
AIBot_PaladinTrainee_005_hb,Uther_D,HERO_04_Premium,,,,,
AIBot_PriestTrainee_006_hb,Anduin_D,HERO_09_Premium,,,,,
AIBot_RogueTrainee_007_hb,valeeraGR_D,HERO_03_Premium,,,,,
AIBot_ShamanTrainee_008_hb,BlizzCon_2011_Thrall_Final_D,HERO_02_Premium,,,,,
AIBot_WarlockTrainee_009_hb,Guldan_Final_2_D,HERO_07_Premium,,,,,
AIBot_WarriorTrainee_010_hb,Garrosh_D,HERO_01_Premium,,,,,
AT_001,HS5-033_D,AT_001_PremiumCard,,,,,
AT_002,W20_a224_D,AT_002_PremiumCard,,,,,
AT_003,HS5-044_D,AT_003_PremiumCard,,,,,
AT_004,HS5-001_D,AT_004_PremiumCard,,,,,
AT_005,HS5-064a_D,AT_005_PremiumCard,,,,,
AT_005t,HS5-064b_D,AT_005t_PremiumCard,,,,,
AT_006,HS5-002_D,AT_006_PremiumCard,,,,,
AT_007,W4_288_D,AT_007_PremiumCard,,,,,
AT_008,W14_a063_D,AT_008_PremiumCard,,,,,
AT_009,W12_A073_D,AT_009_PremiumCard,,,,,
AT_010,W6_031_D,AT_010_PremiumCard,,,,,
AT_011,R8_A040_D,AT_011_PremiumCard,,,,,
AT_012,w9_a029_D,AT_012_PremiumCard,,,,,
AT_013,W13_251_D,AT_013_PremiumCard,,,,,
AT_014,W3_135_D,AT_014_PremiumCard,,,,,
AT_015,w3_136_D,AT_015_PremiumCard,,,,,
AT_016,W6_124_D,AT_016_PremiumCard,,,,,
AT_017,W15_A152_D,AT_017_PremiumCard,,,,,
AT_018,W12_a113_D,AT_018_PremiumCard,,,,,
AT_019,W10_A131_D,AT_019_PremiumCard,,,,,
AT_020,W20_a147_D,AT_020_PremiumCard,,,,,
AT_021,HS5-069_D,AT_021_PremiumCard,,,,,
AT_022,W21_A135_D,AT_022_PremiumCard,,,,,
AT_023,HS5-003_D,AT_023_PremiumCard,,,,,
AT_024,W17_a189_D,AT_024_PremiumCard,,,,,
AT_025,W17_a153_D,AT_025_PremiumCard,,,,,
AT_026,W20_a149_D,AT_026_PremiumCard,,,,,
AT_027,HS5-004_D,AT_027_PremiumCard,,,,,
AT_027e,HS5-004_D,,,,,,
AT_028,HS5-048_D,AT_028_PremiumCard,,,,,
AT_029,HS5-046_D,AT_029_PremiumCard,,,,,
AT_030,HS5-047_D,AT_030_PremiumCard,,,,,
AT_031,W3_143_D,AT_031_PremiumCard,,,,,
AT_032,HS5-045_D,AT_032_PremiumCard,,,,,
AT_033,W21_A069_D,AT_033_PremiumCard,,,,,
AT_034,HS3-075_D,AT_034_PremiumCard,,,,,
AT_035,W10_A026_D,AT_035_PremiumCard,,,,,
AT_035t,W11_210_D,AT_035t_PremiumCard,,,,,
AT_036,HS5-049_D,AT_036_PremiumCard,,,,,
AT_036t,W11_210_D,FP1_007t_PremiumCard,,,,,
AT_037,W15_A032_D,AT_037_PremiumCard,,,,,
AT_037a,HS17-094,AT_037a_PremiumCard,Assets/Game/Cards/09 AT/AT_037a/AT_037a_PremiumCard,HS17-094,,,
AT_037b,HS17-095,AT_037b_PremiumCard,AT_037b_PremiumCard,HS17-095,,,
AT_037t,HS5-068_D,AT_037t_PremiumCard,,,,,
AT_038,HS5-005_D,AT_038_PremiumCard,,,,,
AT_039,W19_a040_D,AT_039_PremiumCard,,,,,
AT_040,W10_a048_D,AT_040_PremiumCard,,,,,
AT_041,HS5-050_D,AT_041_PremiumCard,,,,,
AT_042,W20_a104_D,AT_042_PremiumCard,,,,,
AT_042a,W9_a025_D,AT_042a_PremiumCard,,,,,
AT_042b,W20_a104_D2,AT_042b_PremiumCard,,,,,
AT_042t,W9_a025_D,AT_042t_PremiumCard,,,,,
AT_042t2,W20_a104_D2,AT_042t2_PremiumCard,,,,,
AT_043,W13_063_D,AT_043_PremiumCard,,,,,
AT_044,HS5-065_D,AT_044_PremiumCard,,,,,
AT_045,W19_a193_D,AT_045_PremiumCard,,,,,
AT_045e,HS5-008_D,,,,,,
AT_046,HS5-006_D,AT_046_PremiumCard,,,,,
AT_047,W8_089_D,AT_047_PremiumCard,,,,,
AT_048,W13_273_D,AT_048_PremiumCard,,,,,
AT_049,HS5-007_D,AT_049_PremiumCard,,,,,
AT_050,W17_a065_D,AT_050_PremiumCard,,,,,
AT_050t,W13_271_D,EX1_238_PremiumCard,,,,,
AT_051,W5_245_D,AT_051_PremiumCard,,,,,
AT_052,HS5-034_D,AT_052_PremiumCard,,,,,
AT_053,WOW_ARM_037_D,AT_053_PremiumCard,,,,,
AT_054,HS5-008_D,AT_054_PremiumCard,,,,,
AT_055,W17_a110_D,AT_055_PremiumCard,,,,,
AT_056,HS4-006_D,AT_056_PremiumCard,,,,,
AT_057,HS5-051_D,AT_057_PremiumCard,,,,,
AT_058,W10_A188_D,AT_058_PremiumCard,,,,,
AT_059,HS5-052_D,AT_059_PremiumCard,,,,,
AT_060,W14_a125_D,AT_060_PremiumCard,,,,,
AT_061,HS5-009_D,AT_061_PremiumCard,,,,,
AT_062,HS5-053_D,AT_062_PremiumCard,,,,,
AT_063,HS5-010_D,AT_063_PremiumCard,,,,,
AT_063t,HS5-011_D,AT_063t_PremiumCard,,,,,
AT_064,W21_A062_D,AT_064_PremiumCard,,,,,
AT_065,W9_a092a_D,AT_065_PremiumCard,,,,,
AT_066,HS5-012_D,AT_066_PremiumCard,,,,,
AT_067,HS5-055_D,AT_067_PremiumCard,,,,,
AT_068,W20_a074_D,AT_068_PremiumCard,,,,,
AT_069,HS5-054_D,AT_069_PremiumCard,,,,,
AT_070,HS5-013_D,AT_070_PremiumCard,,,,,
AT_071,HS5-041_D,AT_071_PremiumCard,,,,,
AT_072,varian_D,AT_072_PremiumCard,,,,,
AT_073,W8_054_D,AT_073_PremiumCard,,,,,
AT_074,W16_a052_D,AT_074_PremiumCard,,,,,
AT_075,W11_085_D,AT_075_PremiumCard,,,,,
AT_076,HS5-038_D,AT_076_PremiumCard,,,,,
AT_077,HS5-039_D,AT_077_PremiumCard,,,,,
AT_078,HS5-067_D,AT_078_PremiumCard,,,,,
AT_079,HS5-040_D,AT_079_PremiumCard,,,,,
AT_080,W8_049_D,AT_080_PremiumCard,,,,,
AT_081,W12_a112_D,AT_081_PremiumCard,,,,,
AT_082,HS5-014_D,AT_082_PremiumCard,,,,,
AT_083,HS5-056_D,AT_083_PremiumCard,,,,,
AT_084,HS5-015_D,AT_084_PremiumCard,,,,,
AT_085,HS5-037_D,AT_085_PremiumCard,,,,,
AT_086,W2_182_D,AT_086_PremiumCard,,,,,
AT_087,HS5-017_D,AT_087_PremiumCard,,,,,
AT_088,HS5-057_D,AT_088_PremiumCard,,,,,
AT_089,HS5-016_D,AT_089_PremiumCard,,,,,
AT_090,HS5-058_D,AT_090_PremiumCard,,,,,
AT_091,W11_157_D,AT_091_PremiumCard,,,,,
AT_092,HS5-018_D,AT_092_PremiumCard,,,,,
AT_093,HS5-019_D,AT_093_PremiumCard,,,,,
AT_094,W3_208_D,AT_094_PremiumCard,,,,,
AT_095,W2_283_D,AT_095_PremiumCard,,,,,
AT_096,HS5-020_D,AT_096_PremiumCard,,,,,
AT_097,W11_052_D,AT_097_PremiumCard,,,,,
AT_098,W4_303_D,AT_098_PremiumCard,,,,,
AT_099,w14_a188_D,AT_099_PremiumCard,,,,,
AT_099t,HS5-070_D,AT_099t_PremiumCard,,,,,
AT_100,W11_156_D,AT_100_PremiumCard,,,,,
AT_101,W3_010_D,AT_101_PremiumCard,,,,,
AT_102,HS5-035_D,AT_102_PremiumCard,,,,,
AT_103,W16_a176_D,AT_103_PremiumCard,,,,,
AT_104,HS5-066_D,AT_104_PremiumCard,,,,,
AT_105,HS5-021_D,AT_105_PremiumCard,,,,,
AT_106,R8_A039_D,AT_106_PremiumCard,,,,,
AT_108,HS5-036_D,AT_108_PremiumCard,,,,,
AT_109,HS5-071_D,AT_109_PremiumCard,,,,,
AT_109e,HS5-071_D,,,,,,
AT_110,W11_220_D,AT_110_PremiumCard,,,,,
AT_111,HS5-042_D,AT_111_PremiumCard,,,,,
AT_112,HS5-032_D,AT_112_PremiumCard,,,,,
AT_113,HS5-022_D,AT_113_PremiumCard,,,,,
AT_114,W12_a122_D,AT_114_PremiumCard,,,,,
AT_115,W5_052_D,AT_115_PremiumCard,,,,,
AT_116,W9_001_D,AT_116_PremiumCard,,,,,
AT_117,HS5-023_D,AT_117_PremiumCard,,,,,
AT_118,HS5-024_D,AT_118_PremiumCard,,,,,
AT_119,HS5-025_D,AT_119_PremiumCard,,,,,
AT_120,HS5-026_D,AT_120_PremiumCard,,,,,
AT_121,HS5-059_D,AT_121_PremiumCard,,,,,
AT_122,HS5-027_D,AT_122_PremiumCard,,,,,
AT_123,R6_a019_D,AT_123_PremiumCard,,,,,
AT_124,HS5-060_D,AT_124_PremiumCard,,,,,
AT_125,HS5-028_D,AT_125_PremiumCard,,,,,
AT_127,HS5-043_D,AT_127_PremiumCard,,,,,
AT_128,HS5-029_D,AT_128_PremiumCard,,,,,
AT_129,HS5-062_D,AT_129_PremiumCard,,,,,
AT_130,HS5-030_D,AT_130_PremiumCard,,,,,
AT_131,W12_a123_D,AT_131_PremiumCard,,,,,
AT_132,HS5-031_D,AT_132_PremiumCard,,,,,
AT_132_DRUIDa,Druid_power2_D,AT_132_DRUID_PremiumCard,,,,,
AT_132_DRUIDb,Druid_power2_D,AT_132_DRUID_PremiumCard,,,,,
AT_132_DRUIDc,Druid_power2_D,AT_132_DRUID_PremiumCard,,,,,
AT_132_HUNTER_H1,Hunter_power2_D,AT_132_HUNTER_PremiumCard,,,,,
AT_132_ROGUE_H1,Rogue_power2_D,AT_132_ROGUE_PremiumCard,,,,,
AT_132_ROGUEt,Rogue_power2_D,AT_132_ROGUE_PremiumCard,,,,,
AT_132_ROGUEt_H1,Rogue_power2_D,AT_132_ROGUE_PremiumCard,,,,,
AT_132_SHAMANa,W17_A170_D,NEW1_009_PremiumCard,,,,,
AT_132_SHAMANb,W10_A129_D,CS2_050_PremiumCard,,,,,
AT_132_SHAMANc,W2_226_D,CS2_051_PremiumCard,,,,,
AT_132_SHAMANd,W8_A194_D,CS2_052_PremiumCard,,,,,
AT_132_SHAMANe,CLA-026_M,CS2_058_PremiumCard,CS2_058_PremiumCard,,,,
AT_132_WARLOCKa,Warlock_power2_D,AT_132_WARLOCK_PremiumCard,,,,,
AT_132_WARLOCKb,Warlock_power2_D,AT_132_WARLOCK_PremiumCard,,,,,
AT_133,HS5-063_D,AT_133_PremiumCard,,,,,
AT_COIN,HS27-236_S,AT_COIN_PremiumCard,AT_COIN_PremiumCard,HS27-236_S_Premium,,,
AV_100,HS24-098_M,AV_100_PremiumCard,AV_100_PremiumCard,HS24-098_M_Premium,,,
AV_101,HS24-072_M,AV_101_PremiumCard,AV_101_PremiumCard,HS24-072_M_Premium,,,
AV_102,HS24-177_M,AV_102_PremiumCard,AV_102_PremiumCard,HS24-177_M_Premium,,,
AV_107,HS24-138_S,AV_107_PremiumCard,AV_107_PremiumCard,HS24-138_S_Premium,,,
AV_108,HS24-047_S,AV_108_PremiumCard,AV_108_PremiumCard,HS24-047_S_Premium,,,
AV_109,HS24-163_S,AV_109_PremiumCard,AV_109_PremiumCard,HS24-163_S_Premium,,,
AV_112,HS24-089_M,AV_112_PremiumCard,AV_112_PremiumCard,HS24-089_M_Premium,,,
AV_113,HS24-008_H,AV_113_PremiumCard,AV_113_PremiumCard,HS24-008_H_Premium,,,
AV_113p,HS24-113_HP,AV_113p_PremiumCard,AV_113p_PremiumCard,HS24-113_HP_Premium,,,
AV_113t1,W5_185_D,EX1_610_PremiumCard,,,,,
AV_113t2,W12_a048(EA)_D,EX1_611_PremiumCard,,,,,
AV_113t3,W5_014_D,EX1_554_PremiumCard,,,,,
AV_113t3t2,W6_240_D,EX1_554t_PremiumCard,,,,,
AV_113t7,HS19-054,HS19-054_PremiumCard,BT_213_PremiumCard,HS19-054_Premium,,,
AV_113t8,HS21-144,DMF_123_PremiumCard,DMF_123_PremiumCard,,,,
AV_113t9,HS24-002_S,AV_226_PremiumCard,AV_226_PremiumCard,HS24-002_S_Premium,,,
AV_114,HS24-010_M,AV_114_PremiumCard,AV_114_PremiumCard,HS24-010_M_Premium,,,
AV_115,HS24-011_M,AV_115_PremiumCard,AV_115_PremiumCard,HS24-011_M_Premium,,,
AV_116,HS24-012_S,AV_116_PremiumCard,AV_116_PremiumCard,HS24-012_S_Premium,,,
AV_118,HS24-132_M,AV_118_PremiumCard,AV_118_PremiumCard,HS24-132_M_Premium,,,
AV_119,HS24-161_S,AV_119_PremiumCard,AV_119_PremiumCard,HS24-161_S_Premium,,,
AV_121,HS24-069_M,AV_121_PremiumCard,AV_121_PremiumCard,HS24-069_M_Premium,,,
AV_122,HS24-074_M,AV_122_PremiumCard,AV_122_PremiumCard,,,,
AV_123,HS24-071_M,AV_123_PremiumCard,AV_123_PremiumCard,HS24-071_M_Premium,,,
AV_124,HS24-070_M,AV_124_PremiumCard,AV_124_PremiumCard,HS24-070_M_Premium,,,
AV_125,HS24-077_M,AV_125_PremiumCard,AV_125_PremiumCard,HS24-077_M_Premium,,,
AV_126,HS24-078_M,AV_126_PremiumCard,AV_126_PremiumCard,HS24-078_M_Premium,,,
AV_127,HS24-079_M,AV_127_PremiumCard,AV_127_PremiumCard,HS24-079_M_Premium,,,
AV_128,HS24-176_M,AV_128_PremiumCard,AV_128_PremiumCard,HS24-176_M_Premium,,,
AV_129,HS24-082_M,AV_129_PremiumCard,AV_129_PremiumCard,HS24-082_M_Premium,,,
AV_130,HS24-083_M,AV_130_PremiumCard,AV_130_PremiumCard,HS24-083_M_Premium,,,
AV_131,HS24-086_M,AV_131_PremiumCard,AV_131_PremiumCard,HS24-086_M_Premium,,,
AV_132,HS24-087_M,AV_132_PremiumCard,AV_132_PremiumCard,HS24-087_M_Premium,,,
AV_133,HS24-088_M,AV_133_PremiumCard,AV_133_PremiumCard,HS24-088_M_Premium,,,
