matname,texname
AT_001_PremiumCard,snowWind1
AT_001_PremiumCard,FX_FireRIng
AT_001_PremiumCard,HS5-033_D_Mask
AT_002_PremiumCard,grass01
AT_002_PremiumCard,W20_a224_D_Mask
AT_003_PremiumCard,HS5-044_D_Mask
AT_004_PremiumCard,ArcaneRing01_Double_Polarized
AT_004_PremiumCard,HS5-001_D_Mask
AT_005t_PremiumCard,HS5-064b_D_Mask
AT_005_PremiumCard,HS5-064a_D_Mask
AT_006_PremiumCard,flowers4
AT_006_PremiumCard,flowers3
AT_006_PremiumCard,HS5-002_D_Mask
AT_007_PremiumCard,W4_288_D_Mask
AT_008_PremiumCard,RuneStrips
AT_008_PremiumCard,RuneStrips
AT_008_PremiumCard,W14_a063_D_Mask
AT_009_PremiumCard,W12_A073_D_Mask
AT_010_PremiumCard,SmokeTile1
AT_010_PremiumCard,W6_031_D_Mask
AT_011_PremiumCard,R8_A040_D_Mask
AT_012_PremiumCard,w9_a029_D_Mask
AT_013_PremiumCard,W13_251_D_Golden_Symbol
AT_013_PremiumCard,W13_251_D_Mask
AT_014_PremiumCard,W3_135_D_Mask
AT_015_PremiumCard,w3_136_D_Mask
AT_016_PremiumCard,W6_124_D_Mask
AT_017_PremiumCard,W15_A152_D_Mask
AT_018_PremiumCard,W12_a113_D_Mask
AT_019_PremiumCard,W10_A131_D_Mask
AT_020_PremiumCard,W20_a147_D_Mask
AT_021_PremiumCard,HS5-069_D_Mask
AT_022_PremiumCard,W21_A135_D_Mask
AT_023_PremiumCard,HS5-034_D_FADE1
AT_023_PremiumCard,HS5-003_D_Mask
AT_024_PremiumCard,W17_a189_D_Mask
AT_025_PremiumCard,W17_a153_D_Mask
AT_026_PremiumCard,W20_a149_D_Mask
AT_027_PremiumCard,HS5-004_D_Fade2
AT_027_PremiumCard,HS5-004_D_Mask
AT_028_PremiumCard,HS5-048_D_FADE2
AT_028_PremiumCard,HS5-048_D_Mask
AT_029_PremiumCard,HS5-046_D_Fade2
AT_029_PremiumCard,HS5-046_D_Mask
AT_030_PremiumCard,HS5-047_D_Mask
AT_031_PremiumCard,coins2
AT_031_PremiumCard,coins2
AT_031_PremiumCard,W3_143_D_Mask
AT_032_PremiumCard,FX_plasma_withLeaves
AT_032_PremiumCard,HS5-045_D_Mask
AT_033_PremiumCard,coins2
AT_033_PremiumCard,W21_A069_D_Mask
AT_034_PremiumCard,HS3-075_D_Mask
AT_035t_PremiumCard,rocksSparse2
AT_035t_PremiumCard,W11_210_D_mask_0
AT_035_PremiumCard,UV_Wavy_Flow2
AT_035_PremiumCard,W10_A026_D_Mask
AT_036_PremiumCard,beatles
AT_036_PremiumCard,HS5-049_D_FADE3
AT_036_PremiumCard,HS5-049_D_FADE2
AT_036_PremiumCard,HS5-049_D_Mask
AT_037a_PremiumCard,leavesColor
AT_037a_PremiumCard,HS17-094_Mask
AT_037b_PremiumCard,HS17-095_Wave
AT_037b_PremiumCard,HS17-095_Wave
AT_037b_PremiumCard,HS17-095_Mask
AT_037t_PremiumCard,HS5-068_D_Head_Alpha
AT_037t_PremiumCard,Leaf_Alpha
AT_037t_PremiumCard,HS5-068_D_Mask
AT_037_PremiumCard,W15_A032_D_Vines_and_Guy
AT_037_PremiumCard,Edge and Vines
AT_037_PremiumCard,W15_A032_D_Mask
AT_038_PremiumCard,HS5-005_D_Mask
AT_039_PremiumCard,W19_a040_D_Mask
AT_040_PremiumCard,W10_a048_D_Mask
AT_041_PremiumCard,HS5-050_D_Mask
AT_042a_PremiumCard,W9_a025_D_Mask
AT_042b_PremiumCard,W20_a104_D2_Mask
AT_042t2_PremiumCard,W20_a104_D2_Mask
AT_042t_PremiumCard,W9_a025_D_Mask
AT_042_PremiumCard,snowWind2
AT_042_PremiumCard,W20_a104_D_Mask
AT_043_PremiumCard,W13_063_D_Mask
AT_044_PremiumCard,sidelinesAndMotes
AT_044_PremiumCard,HS5-065_D_FX
AT_044_PremiumCard,dustAndLeaves
AT_044_PremiumCard,HS5-065_D_Mask
AT_045_PremiumCard,FeathersSparse
AT_045_PremiumCard,W19_a193_D_Mask
AT_046_PremiumCard,HS5-006_D_Mask
AT_047_PremiumCard,FX_plasma_withLeaves
AT_047_PremiumCard,metalScrap
AT_047_PremiumCard,W8_089_D_Mask
AT_048_PremiumCard,CurlWisp02
AT_048_PremiumCard,leaves3
AT_048_PremiumCard,W13_273_D_Mask
AT_049_PremiumCard,HS5-007_D_Mask
AT_050_PremiumCard,W17_a065_D_Mask
AT_051_PremiumCard,W5_245_D_Mask
AT_052_PremiumCard,leavesColor3
AT_052_PremiumCard,leavesColor3
AT_052_PremiumCard,HS5-034_D_Mask
AT_053_PremiumCard,WOW_ARM_037_D_Mask
AT_054_PremiumCard,HS5-008_D_Mask
AT_055_PremiumCard,W17_a110_D_Mask
AT_056_PremiumCard,HS4-006_D_Mask
AT_057_PremiumCard,grass01
AT_057_PremiumCard,rocks4
AT_057_PremiumCard,HS5-051_D_Fade1
AT_057_PremiumCard,HS5-051_D_Mask
AT_058_PremiumCard,W10_A188_D_Mask
AT_059_PremiumCard,HS5-052_D_Mask
AT_060_PremiumCard,W14_a125_Trap2
AT_060_PremiumCard,W14_a125_D_Mask
AT_061_PremiumCard,bullet_shells_1
AT_061_PremiumCard,HS5-009_D_Mask
AT_062_PremiumCard,HS5-053_D_Fade4
AT_062_PremiumCard,HS5-053_D_Fade4
AT_062_PremiumCard,HS5-053_D_Fade2
AT_062_PremiumCard,HS5-053_D_Mask
AT_063t_PremiumCard,rocksSparse
AT_063t_PremiumCard,HS5-011_D_Mask
AT_063_PremiumCard,rocks_alpha
AT_063_PremiumCard,HS5-010_D_Mask
AT_064_PremiumCard,W21_A062_D_Mask
AT_065_PremiumCard,W9_a092a_D_Mask
AT_066_PremiumCard,rocks_0
AT_066_PremiumCard,HS5-012_D_Mask
AT_067_PremiumCard,rocks_0
AT_067_PremiumCard,HS5-055_D_Mask
AT_068_PremiumCard,W20_a074_D_FADE2
AT_068_PremiumCard,W20_a074_D_FADE2
AT_068_PremiumCard,W20_a074_D_Mask
AT_069_PremiumCard,UV_Wavy_Flow2
AT_069_PremiumCard,HS5-054_D_Mask
AT_070_PremiumCard,Feathers 1
AT_070_PremiumCard,HS5-013_D_Mask
AT_071_PremiumCard,UV_Wavy_Flow2
AT_071_PremiumCard,rocksSparse2
AT_071_PremiumCard,HS5-041_D_Mask
AT_072_PremiumCard,flowers5
AT_072_PremiumCard,varian_D_Mask
AT_073_PremiumCard,rocks_0
AT_073_PremiumCard,sidelinesAndMotes
AT_073_PremiumCard,W8_054_D_Mask
AT_074_PremiumCard,AmbientCubeBottom
AT_074_PremiumCard,W16_a052_D_Mask
AT_075_PremiumCard,UV_Wavy_Flow2
AT_075_PremiumCard,HorseHead
AT_075_PremiumCard,W11_085_D_FADE1
AT_075_PremiumCard,W11_085_D_Mask
AT_076_PremiumCard,Whirlwind2
AT_076_PremiumCard,HS5-038_D_FADE
